http://dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase	Supreme Court of the United States case	
http://dbpedia.org/ontology/LegalCase	Legal Case	
http://dbpedia.org/ontology/SoccerManager	soccer manager	
http://dbpedia.org/ontology/Monarch	monarch	
http://dbpedia.org/ontology/AmericanFootballPlayer	american football player	
http://dbpedia.org/ontology/Artwork	artwork	
http://dbpedia.org/ontology/BeautyQueen	beauty queen	
http://dbpedia.org/ontology/School	scuola	
http://dbpedia.org/ontology/PersonFunction	person function	
http://dbpedia.org/ontology/Presenter	presenter	
http://dbpedia.org/ontology/ChartsPlacements	Place in the Music Charts	
http://dbpedia.org/ontology/SoccerClubSeason	soccer club season	
http://dbpedia.org/ontology/SportsTeamSeason	sports team season	
http://dbpedia.org/ontology/Annotation	Annotation	
http://dbpedia.org/ontology/Mosque	mosk	
http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete	national collegiate athletic association athlete	
http://dbpedia.org/ontology/Referee	referee	
http://dbpedia.org/ontology/CanadianFootballPlayer	canadian football player	
http://dbpedia.org/ontology/Cardinal	cardinal	
http://dbpedia.org/ontology/Mollusca	mollusca	
http://dbpedia.org/ontology/Stadium	stadium	
http://dbpedia.org/ontology/NationalSoccerClub	national soccer club	
http://dbpedia.org/ontology/SoccerClub	soccer club	
http://dbpedia.org/ontology/College	college	
http://dbpedia.org/ontology/Film	movie	
http://dbpedia.org/ontology/SkiArea	ski area	
http://dbpedia.org/ontology/Instrument	Instrument	
http://dbpedia.org/ontology/Vicar	vicar	
http://dbpedia.org/ontology/Colour	colour	
http://dbpedia.org/ontology/Factory	factory	
http://dbpedia.org/ontology/SnookerChamp	snooker world champion	
http://dbpedia.org/ontology/Venue	venue	
http://dbpedia.org/ontology/Deputy	deputy	
http://dbpedia.org/ontology/MovieDirector	Movie director	
http://dbpedia.org/ontology/Agent	agent	
http://dbpedia.org/ontology/PublicServiceOutput	public service output	
http://dbpedia.org/ontology/PenaltyShootOut	penalty shoot-out	
http://dbpedia.org/ontology/Employer	Employer	
http://dbpedia.org/ontology/Congressman	congressman	
http://dbpedia.org/ontology/MusicComposer	music composer	
http://dbpedia.org/ontology/Activity	activity	活動
http://dbpedia.org/ontology/BackScene	back scene	
http://dbpedia.org/ontology/Profession	profession	
http://dbpedia.org/ontology/Model	model	
